,위도,경도
205,36.82270798,127.1025752
206,36.822287,127.1077139
207,36.81720994,127.1000614
208,36.81615494,127.1047588
209,36.80536929,127.104929
210,36.82681562,127.1389703
211,36.821811,127.109551
212,36.80966395,127.1448778
213,36.80706633,127.1186041
214,36.83081181,127.1308429
215,36.7959274,127.1271019
216,36.83705255,127.1426788
217,36.81193549,127.1399549
218,36.80973932,127.1108629
219,36.80636099,127.1182759
220,36.80213925,127.1140547
221,36.79778246,127.0978904
222,36.81263835,127.1056851
223,36.82782655,127.1379501
224,36.81792067,127.1501999
225,36.81418574,127.1077406
226,36.79362985,127.1222537
227,36.82966151,127.1424697
228,36.81170821,127.1114454
229,36.82667297,127.1255763
230,36.80573509,127.1177228
231,36.80476613,127.1074126
232,36.83046836,127.1393891
233,36.82143955,127.1457671
234,36.8196706,127.1049084
235,36.8178102,127.1079788
236,36.8166196,127.1078356
237,36.81320811,127.102361
238,36.81238685,127.1081985
239,36.81174593,127.1068498
240,36.83266649,127.1232324
241,36.81020849,127.1085263
242,36.80484275,127.1152675
243,36.83581573,127.1373786
244,36.83987074,127.1104026
245,36.82993382,127.1414914
246,36.80806217,127.143943
247,36.82289385,127.138734
248,36.83199888,127.1429369
249,36.91773993,127.1336749
250,36.84666559,127.1116247
251,36.84617531,127.1171918
252,36.83589858,127.1203704
253,36.83122491,127.1430801
254,36.83218601,127.1401434
255,36.84271707,127.105414
256,36.8303998,127.1238075
257,36.82762741,127.1390734
258,36.8052262,127.1159355
259,36.79980413,127.1006794
260,36.84104302,127.0997154
261,36.84551297,127.1093282
262,36.82854029,127.1332339
263,36.83018337,127.1336414
264,36.82537935,127.1409929
265,36.83359352,127.1366411
266,36.83364606,127.1314724
267,36.83357974,127.1434687
268,36.79759297,127.1183203
269,36.81983379,127.1355401
270,36.793685,127.120788
271,36.79977459,127.124537
272,36.8218946,127.1438789
273,36.80639088,127.1113834
274,36.79892927,127.1017766
275,36.79770303,127.107685
276,36.80056457,127.1047271
277,36.83105832,127.141221
278,36.840553,127.129977
279,36.80584857,127.1087561
280,36.79347129,127.1190845
281,36.83375426,127.1277828
282,36.82308618,127.1243279
283,36.826097,127.1306047
284,36.83375301,127.138218
285,36.88833101,127.207766
286,36.92741101,127.134172
287,36.75434434,127.3038315
288,36.7538342,127.309932
289,36.8885011,127.1412011
290,36.7985011,127.1533011
291,36.82137011,127.162654
292,36.80191301,127.158908
293,36.78035301,127.165378
294,36.82867011,127.152476
295,36.81876501,127.117208
296,36.81920401,127.131081
297,36.81845301,127.143047
298,36.87715601,127.199742
299,36.85703801,127.137076
300,36.90382201,127.1358301
301,36.82121201,127.162383
302,36.81463401,127.130167
303,36.74528301,127.126119
304,36.83103101,127.1772801
305,36.8153978,127.1614714
306,36.80422801,127.119261
307,36.82090901,127.121177
308,36.79067201,127.136799
309,36.80337501,127.114394
310,36.79026801,127.131391
311,36.82621601,127.116201
312,36.78011201,127.152485
313,36.87772301,127.158585
314,36.83402101,127.174463
315,36.93115801,127.189379
316,36.82593601,127.137249
317,36.78750701,127.146969
318,36.78723801,127.146915
319,36.80111111,127.1185556
320,36.89411111,127.1365556
321,36.8265011,127.1330278
322,36.80136464,127.1234416
323,36.66719444,127.1367778
324,36.95142301,127.114502
325,36.91373401,127.219181
326,36.91760401,127.127953
327,36.80168801,127.129235
328,36.80127901,127.140158
329,36.80659201,127.145683
330,36.78941401,127.123294
331,36.79764701,127.114875
332,36.78080701,127.140418
333,36.86014425,127.1422132
334,36.80707701,127.136241
335,36.82584701,127.154654
336,36.83677301,127.141951
337,36.81199101,127.131947
338,36.78467011,127.114102
339,36.80230601,127.167535
340,36.80146901,127.105621
341,36.80931011,127.173446
342,36.70248801,127.114237
343,36.81544444,127.1095556
344,36.83215833,127.1518801
345,36.79380556,127.1578611
346,36.70122222,127.1029444
347,36.78762821,127.2595705
348,36.7649011,127.2996011
349,36.7649011,127.3011011
350,36.7323011,127.2836011
351,36.8233011,127.273011
352,36.7869011,127.2351011
353,36.7693011,127.2015011
354,36.83049801,127.130379
355,36.81532701,127.141954
356,36.80132801,127.123762
357,36.78781901,127.1151401
358,36.80678801,127.110391
359,36.87690201,127.148328
360,36.84165473,127.1374764
361,36.82905011,127.1234501
362,36.83591601,127.146886
363,36.83575147,127.1359207
364,36.84414301,127.105632
365,36.91797801,127.133438
366,36.94919701,127.146134
367,36.94769501,127.1643601
368,36.92845701,127.0863401
369,36.87132201,127.201278
370,36.73870601,127.151397
371,36.77781301,127.348907
372,36.77374301,127.215698
373,36.91541501,127.225578
374,36.6879011,127.1576011
375,36.7447011,127.1034011
376,36.7875011,127.1242011
377,36.77127961,127.1296873
378,36.7271011,127.1195011
379,36.7912011,127.1628011
380,36.8044011,127.1526011
381,36.8044011,127.1502011
382,36.8142011,127.153011
383,36.788011,127.1503011
384,36.74237208,127.2364445
385,36.8068011,127.1498011
386,36.8229011,127.1596011
387,36.7605011,127.175011
388,36.82757337,127.1415738
389,36.8071111,127.1386111
390,36.8124111,127.1562111
391,36.8088111,127.1361111
392,36.7826111,127.1561111
393,36.8414111,127.1814111
394,36.8402111,127.1799111
395,36.7921111,127.1498111
396,36.7811111,127.1404111
397,36.7923111,127.1585111
398,36.7876111,127.1509111
399,36.7793111,127.1523111
400,36.7648111,127.3007111
401,36.7697111,127.2029111
402,36.8258111,127.1546111
403,36.8175111,127.1648111
404,36.7831111,127.1532111
405,36.7664111,127.1643111
406,36.8175111,127.1617111
407,36.7807111,127.1635111
408,36.7781111,127.1553111
409,36.7832111,127.1611111
410,36.7988111,127.1388111
411,36.8036111,127.1527111
412,36.7886111,127.1264111
413,36.7755111,127.1385111
414,36.7754111,127.1366111
415,36.7937111,127.1578111
416,36.8056111,127.1357111
417,36.8132111,127.1323111
418,36.7869111,127.1311111
419,36.7892111,127.1381111
420,36.7728111,127.1346111
421,36.7801111,127.1524111
422,36.8282111,127.1583111
423,36.7701111,127.2039111
424,36.7891111,127.1347111
425,36.7783111,127.1587111
426,36.781111,127.1535111
427,36.8072111,127.1358111
428,36.8153111,127.1643111
429,36.7851111,127.1463111
430,36.8063111,127.1523111
431,36.7702111,127.1311111
432,36.7814111,127.1454111
433,36.8181111,127.1537111
434,36.8179111,127.1538111
435,36.8176111,127.1539111
436,36.8182111,127.1564111
437,36.8179111,127.1564111
438,36.8175111,127.1576111
439,36.8172111,127.1576111
440,36.8172111,127.1551111
441,36.8137111,127.1623111
442,36.8229111,127.1594111
443,36.8045111,127.1532111
444,36.7846111,127.1487111
445,36.7737111,127.2156111
446,36.7844111,127.1285111
447,36.7796111,127.1379111
448,36.771111,127.1331111
449,36.8128111,127.1314111
450,36.7924111,127.1315111
451,36.7903111,127.1285111
452,36.7886111,127.1314111
453,36.8154111,127.1513111
454,36.7606111,127.1788111
455,36.8063111,127.1588111
456,36.7786111,127.131111
457,36.7753111,127.1341111
458,36.7738111,127.1331111
459,36.7862111,127.1581111
460,36.7971111,127.1573111
461,36.7901111,127.1376111
462,36.7746111,127.2118111
463,36.7915111,127.1392111
464,36.8069111,127.1411111
465,36.7841111,127.1594111
466,36.781111,127.1561111
467,36.8195111,127.1596111
468,36.7914111,127.1294111
469,36.8042111,127.1502111
470,36.7896111,127.1551111
471,36.7606111,127.1748111
472,36.7911111,127.1314111
473,36.7709111,127.1313111
474,36.7868111,127.1599111
475,36.7843111,127.1511111
476,36.7891111,127.1479111
477,36.7848111,127.1542111
478,36.8185111,127.1544111
479,36.8172111,127.1533111
480,36.7886111,127.1288111
481,36.7885111,127.1246111
482,36.8069111,127.1498111
483,36.8125111,127.1532111
484,36.8213111,127.1625111
485,36.8221111,127.1582111
486,36.7875111,127.1241111
487,36.7831111,127.1546111
488,36.7839111,127.1527111
489,36.6988111,127.1107111
490,36.8014111,127.1359111
491,36.8309111,127.1786111
492,36.7891111,127.1202111
493,36.8399111,127.1741111
494,36.7943111,127.1599111
495,36.7988111,127.1538111
496,36.7913111,127.1557111
497,36.7918111,127.1625111
498,36.8152111,127.1587111
499,36.8027111,127.1593111
500,36.8189111,127.1537111
501,36.8203111,127.1611111
502,36.81038097,127.1405775
503,36.81349911,127.1418428
504,36.81832023,127.143078
505,36.7989728,127.1184614
506,36.80253838,127.1180507
507,36.79968773,127.1262076
508,36.83251913,127.145106
509,36.83095543,127.1394509
510,36.87674795,127.1488654
511,36.91660672,127.132745
512,36.83030905,127.1410388
513,36.82688885,127.1378822
514,36.80319444,127.1273333
515,36.79794444,127.1304444
516,36.840485,127.1258821
517,36.841611,127.1269991
518,36.842915,127.1284361
519,36.8084111,127.1502111
520,36.8098111,127.1482111
521,36.8086111,127.1478111
522,36.8021111,127.1507111
523,36.8051111,127.1466111
524,36.8172111,127.1581111
525,36.8189111,127.1578111
526,36.8193111,127.1529111
527,36.8194111,127.1543111
528,36.8012111,127.1431111
529,36.8007111,127.1491111
530,36.8057111,127.1395111
531,36.8134111,127.1495111
532,36.7934111,127.1293111
533,36.8024111,127.1412111
534,36.7987111,127.1616111
535,36.8185111,127.1563111
536,36.7994111,127.1508111
537,36.8011111,127.1594111
538,36.8168111,127.1511111
539,36.8149111,127.1542111
540,36.834762,127.1195721
541,36.832766,127.1488561
542,36.835202,127.1484331
543,36.830841,127.1453271
544,36.82754304,127.1467818
545,36.807971,127.1285291
546,36.891173,127.2098811
547,36.72017011,127.132568
548,36.82286101,127.112572
549,36.82273501,127.139702
550,36.68909301,127.159121
551,36.70349501,127.106445
552,36.78901297,127.1347834
553,36.79775701,127.150321
554,36.83055201,127.179417
555,36.82327011,127.1519601
556,36.82333011,127.1520201
557,36.77539011,127.1382101
558,36.77545011,127.1381501
559,36.77534011,127.1364101
560,36.77532011,127.1363101
561,36.78855701,127.1265801
562,36.78834701,127.129877
563,36.74264011,127.2214601
564,36.74261011,127.2213801
565,36.72913101,127.214076
566,36.72923801,127.213986
567,36.76041201,127.176961
568,36.78145501,127.235178
569,36.79139011,127.1689201
570,36.79134011,127.1688801
571,36.8405011,127.136011
572,36.91196011,127.1969801
573,36.91205011,127.1971701
574,36.87862901,127.171999
575,36.8294011,127.1332011
576,36.80501011,127.1055201
577,36.80492011,127.1054501
578,36.819011,127.1049011
579,36.8172011,127.1016011
580,36.8041011,127.1204011
581,36.7997011,127.1306011
582,36.8028011,127.1305011
583,36.8657011,127.1943011
584,36.8365011,127.1413011
585,36.83548011,127.1425501
586,36.83561011,127.1424701
587,36.83522011,127.1507501
588,36.83516011,127.1505701
589,36.798011,127.1348011
590,36.8549011,127.1207011
591,36.73422011,127.1229901
592,36.73413011,127.1230401
593,36.78465522,127.149321
594,36.78321401,127.161011
595,36.78542501,127.159718
596,36.78091011,127.145345
597,36.79333011,127.1458401
598,36.79325011,127.1458601
599,36.8292011,127.1236011
600,36.88208801,127.154451
601,36.90211011,127.2239101
602,36.90222011,127.2240101
603,36.91229011,127.2410501
604,36.91243011,127.2411301
605,36.7935011,127.1178011
606,36.8016011,127.1153011
607,36.79928011,127.1202901
608,36.79648011,127.1225101
609,36.79661011,127.1224301
610,36.798011,127.1204011
611,36.8020791,127.1238293
612,36.8022011,127.1226011
613,36.92432801,127.117446
614,36.92474601,127.115339
615,36.91447201,127.1378501
616,36.91477101,127.1380401
617,36.82448011,127.1350801
618,36.82444011,127.1349301
619,36.84634697,127.1157559
620,36.914011,127.2304722
621,36.94869444,127.1324444
622,36.75836878,127.1714605
623,36.75472087,127.295645
624,36.80891667,127.1645011
625,36.78507626,127.1149834
626,36.79584701,127.097688
627,36.80575601,127.135675
628,36.81214301,127.131565
629,36.8132011,127.1322011
630,36.8241011,127.1604011
631,36.8049011,127.150111
632,36.72593644,127.1191837
633,36.7449011,127.1028011
634,36.7424011,127.2362011
635,36.8246011,127.2731011
636,36.78812901,127.131071
637,36.79145801,127.131359
638,36.73235011,127.283686
639,36.78674101,127.2584101
640,36.68783677,127.1576359
641,36.8368011,127.1437011
642,36.788011,127.1154011
643,36.8065011,127.1452011
644,36.9169011,127.1328011
645,36.9175011,127.1289011
646,36.9486011,127.1662011
647,36.8717011,127.2016011
648,36.82799501,127.122902
649,36.83553011,127.1469801
650,36.83548011,127.1468801
651,36.82401201,127.140481
652,36.78999701,127.123615
653,36.80155401,127.129194
654,36.87679301,127.115431
655,36.91543401,127.225614
656,36.95136401,127.114539
657,36.82577301,127.154524
658,36.78695101,127.124013
659,36.77924801,127.152287
660,36.78095101,127.140401
661,36.78882201,127.136224
662,36.77355801,127.2155011
663,36.77778201,127.348771
664,36.79515501,127.097867
665,36.79748701,127.116058
666,36.94901701,127.146388
667,36.92843601,127.087293
668,36.8353011,127.1359011
669,36.76658301,127.158056
670,36.80136101,127.111222
671,36.80333501,127.114666
