위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급,위험도(100점)
36.84162679,127.1275613,CDM,194,7,4,0,934.406447693371,0,311.2485426998902,4,32.95
36.81100877,127.1036349,CDM,223,7,2,0,311.9022533974623,1,199.6223973509776,4,32.98
36.8435756,127.1494584,LED,206,0,0,0,1042.7565024311052,0,428.4110351685176,5,33.07
36.84340332,127.1503074,LED,211,0,1,0,1112.417871703257,0,449.4729431736783,5,33.09
36.84345789,127.1499094,LED,211,0,1,0,1079.001510590723,0,440.9126376913285,5,33.19
36.84333817,127.1501699,LED,209,0,1,0,1098.9929840813825,0,455.5161561438206,5,33.28
36.84375603,127.1492934,LED,204,0,0,0,1033.3632268643896,0,409.5938979394029,5,33.36
36.84144145,127.1275681,CDM,197,7,5,0,933.4913917898268,0,314.21320388943326,4,33.36
36.84359572,127.1495846,LED,210,0,1,0,1054.199693320109,0,425.63371748639776,5,33.39
36.84330844,127.1505202,LED,207,0,1,0,1119.4120605379458,0,462.3735749447745,5,33.4
36.84340846,127.1498084,LED,208,0,1,0,1069.061181857803,0,446.2174313578917,5,33.47
36.81682163,127.1079101,CDM,186,11,4,1,198.8046663677625,0,334.6802190755341,4,33.47
36.84337581,127.1506857,LED,205,0,1,0,1132.0908919900849,0,457.405922910597,5,33.6
36.84504903,127.151143,LED,223,1,0,0,1232.8015222499862,1,291.30922516257766,5,33.62
36.84337086,127.151036,LED,204,0,1,0,1144.340806756825,0,464.6060229602913,5,33.64
36.8449457,127.1509158,LED,235,1,0,0,1209.9394806369885,1,294.04705459238994,5,33.65
36.84499316,127.1507926,LED,233,1,0,0,1201.3183410454544,1,285.3748012885535,5,33.7
36.84477342,127.1503302,LED,238,1,0,0,1154.4331671138837,1,298.85305577287875,5,33.71
36.84330122,127.1508845,LED,203,0,1,0,1131.6815091746612,0,469.03992161392193,5,33.73
36.84373818,127.1491616,LED,200,0,0,0,1021.51441354322,0,412.9004376817305,5,33.74
36.84473063,127.1499708,LED,241,1,0,0,1122.6517934941303,1,299.79635930559346,5,33.76
36.84330528,127.1512321,LED,202,0,1,0,1145.2189264131189,0,476.2013098190525,5,33.77
36.84497557,127.1504478,LED,240,1,0,0,1171.7555875826313,1,278.86596160954133,5,33.78
36.84312662,127.1500041,LED,203,0,1,0,1080.1176129407472,0,478.05028435141946,5,33.78
36.84320074,127.150178,LED,203,0,1,0,1096.7868007201282,0,470.805958397256,5,33.78
36.81110605,127.1031588,CDM,213,6,1,0,337.6572148739254,1,205.27364070452523,4,33.79
36.84494221,127.1501114,LED,236,1,0,0,1142.3522436451226,1,277.47922954890566,5,33.83
36.84504575,127.1501816,LED,237,1,0,0,1152.2110282689505,1,266.8653244239447,5,33.86
36.84492467,127.1497301,LED,231,1,0,0,1109.865998570158,1,277.60362085794617,5,33.89
36.84501691,127.1498284,LED,234,1,0,0,1121.6850229311865,1,267.42228733753933,5,33.91
