사고다발지fid,사고다발지id,법규위반,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,연도,구분
6713418,2021054,신호위반,4413310200,44133004,충청남도 천안시 서북구4,충청남도 천안시 서북구 성정동(서부대로사거리 부근),7,8,0,2,6,0,127.133014781108,36.826513195928,"{""type"":""Polygon"",""coordinates"":[[[127.1339131,36.8265132],[127.13389584,36.82637291],[127.13384472,36.82623802],[127.1337617,36.82611371],[127.13364999,36.82600474],[127.13351386,36.82591532],[127.13335855,36.82584887],[127.13319003,36.82580795],[127.13301478,36.82579413],[127.13283953,36.82580795],[127.13267101,36.82584887],[127.1325157,36.82591532],[127.13237958,36.82600474],[127.13226786,36.82611371],[127.13218485,36.82623802],[127.13213373,36.82637291],[127.13211647,36.8265132],[127.13213373,36.82665348],[127.13218485,36.82678837],[127.13226786,36.82691268],[127.13237958,36.82702165],[127.1325157,36.82711107],[127.13267101,36.82717752],[127.13283953,36.82721844],[127.13301478,36.82723225],[127.13319003,36.82721844],[127.13335855,36.82717752],[127.13351386,36.82711107],[127.13364999,36.82702165],[127.1337617,36.82691268],[127.13384472,36.82678837],[127.13389584,36.82665348],[127.1339131,36.8265132]]]}",2021,법규위반별 사고다발구간
6713025,2021053,중앙선침범,4413310800,44133005,충청남도 천안시 서북구5,충청남도 천안시 서북구 불당동(불당21로교차로 부근),3,4,0,1,3,0,127.106205741803,36.81291447982,"{""type"":""Polygon"",""coordinates"":[[[127.10890069,36.81291448],[127.10884891,36.81249356],[127.10869555,36.81208881],[127.10844651,36.81171579],[127.10811136,36.81138884],[127.10770297,36.81112051],[127.10723705,36.81092112],[127.1067315,36.81079834],[127.10620574,36.81075689],[127.10567998,36.81079834],[127.10517443,36.81092112],[127.10470851,36.81112051],[127.10430013,36.81138884],[127.10396498,36.81171579],[127.10371594,36.81208881],[127.10356258,36.81249356],[127.1035108,36.81291448],[127.10356258,36.8133354],[127.10371594,36.81374014],[127.10396498,36.81411315],[127.10430013,36.81444009],[127.10470851,36.81470841],[127.10517443,36.81490778],[127.10567998,36.81503056],[127.10620574,36.81507201],[127.1067315,36.81503056],[127.10723705,36.81490778],[127.10770297,36.81470841],[127.10811136,36.81444009],[127.10844651,36.81411315],[127.10869555,36.81374014],[127.10884891,36.8133354],[127.10890069,36.81291448]]]}",2021,법규위반별 사고다발구간
6713488,2021054,신호위반,4413310200,44133005,충청남도 천안시 서북구5,충청남도 천안시 서북구 성정동(시민문화여성회관사거리 부근),6,10,0,2,7,1,127.137559451109,36.825833008987,"{""type"":""Polygon"",""coordinates"":[[[127.13845777,36.82583301],[127.13844051,36.82569273],[127.13838939,36.82555783],[127.13830637,36.82543352],[127.13819466,36.82532455],[127.13805853,36.82523512],[127.13790322,36.82516868],[127.1377347,36.82512776],[127.13755945,36.82511394],[127.1373842,36.82512776],[127.13721568,36.82516868],[127.13706037,36.82523512],[127.13692425,36.82532455],[127.13681253,36.82543352],[127.13672952,36.82555783],[127.1366784,36.82569273],[127.13666114,36.82583301],[127.1366784,36.82597329],[127.13672952,36.82610818],[127.13681253,36.8262325],[127.13692425,36.82634146],[127.13706037,36.82643089],[127.13721568,36.82649734],[127.1373842,36.82653826],[127.13755945,36.82655207],[127.1377347,36.82653826],[127.13790322,36.82649734],[127.13805853,36.82643089],[127.13819466,36.82634146],[127.13830637,36.8262325],[127.13838939,36.82610818],[127.13844051,36.82597329],[127.13845777,36.82583301]]]}",2021,법규위반별 사고다발구간
6715938,2021056,,4413310400,44130001,충청남도 천안시1,충청남도 천안시 서북구 두정동(셜록홈즈천안두정점 인근),43,58,0,6,48,4,127.134019587335,36.832540717581,"{""type"":""Polygon"",""coordinates"":[[[127.13536706,36.83254072],[127.13534117,36.83233031],[127.13526449,36.83212799],[127.13513997,36.83194153],[127.13497239,36.8317781],[127.1347682,36.83164397],[127.13453524,36.8315443],[127.13428247,36.83148293],[127.13401959,36.8314622],[127.13375671,36.83148293],[127.13350393,36.8315443],[127.13327097,36.83164397],[127.13306678,36.8317781],[127.1328992,36.83194153],[127.13277468,36.83212799],[127.13269801,36.83233031],[127.13267211,36.83254072],[127.13269801,36.83275112],[127.13277468,36.83295344],[127.1328992,36.8331399],[127.13306678,36.83330333],[127.13327097,36.83343746],[127.13350393,36.83353712],[127.13375671,36.83359849],[127.13401959,36.83361922],[127.13428247,36.83359849],[127.13453524,36.83353712],[127.1347682,36.83343746],[127.13497239,36.83330333],[127.13513997,36.8331399],[127.13526449,36.83295344],[127.13534117,36.83275112],[127.13536706,36.83254072]]]}",2021,지자체별 사고다발구간
6715939,2021056,,4413310700,44130002,충청남도 천안시2,충청남도 천안시 서북구 쌍용동(일봉산사거리 인근),39,51,0,3,42,6,127.130518295484,36.79796341628,"{""type"":""Polygon"",""coordinates"":[[[127.13186577,36.79796342],[127.13183988,36.79775291],[127.1317632,36.7975505],[127.13163868,36.79736396],[127.1314711,36.79720045],[127.13126691,36.79706626],[127.13103395,36.79696655],[127.13078117,36.79690515],[127.1305183,36.79688442],[127.13025542,36.79690515],[127.13000264,36.79696655],[127.12976968,36.79706626],[127.12956549,36.79720045],[127.12939791,36.79736396],[127.12927339,36.7975505],[127.12919671,36.79775291],[127.12917082,36.79796342],[127.12919671,36.79817392],[127.12927339,36.79837633],[127.12939791,36.79856287],[127.12956549,36.79872638],[127.12976968,36.79886056],[127.13000264,36.79896027],[127.13025542,36.79902167],[127.1305183,36.7990424],[127.13078117,36.79902167],[127.13103395,36.79896027],[127.13126691,36.79886056],[127.1314711,36.79872638],[127.13163868,36.79856287],[127.1317632,36.79837633],[127.13183988,36.79817392],[127.13186577,36.79796342]]]}",2021,지자체별 사고다발구간
6715940,2021056,,4413111800,44130003,충청남도 천안시3,충청남도 천안시 동남구 신부동(천안고속버스터미널 인근),37,56,0,9,44,3,127.153790094338,36.818772881264,"{""type"":""Polygon"",""coordinates"":[[[127.15513757,36.81877288],[127.15511168,36.81856244],[127.155035,36.81836008],[127.15491048,36.81817359],[127.1547429,36.81801012],[127.15453871,36.81787597],[127.15430575,36.81777629],[127.15405297,36.8177149],[127.15379009,36.81769417],[127.15352722,36.8177149],[127.15327444,36.81777629],[127.15304148,36.81787597],[127.15283729,36.81801012],[127.15266971,36.81817359],[127.15254519,36.81836008],[127.15246851,36.81856244],[127.15244262,36.81877288],[127.15246851,36.81898332],[127.15254519,36.81918568],[127.15266971,36.81937217],[127.15283729,36.81953563],[127.15304148,36.81966978],[127.15327444,36.81976946],[127.15352722,36.81983085],[127.15379009,36.81985157],[127.15405297,36.81983085],[127.15430575,36.81976946],[127.15453871,36.81966978],[127.1547429,36.81953563],[127.15491048,36.81937217],[127.155035,36.81918568],[127.15511168,36.81898332],[127.15513757,36.81877288]]]}",2021,지자체별 사고다발구간
6781419,2022043,중앙선침범,4413125000,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 목천읍(신계리1392 부근),4,6,0,1,5,0,127.208775059722,36.77272482709,"{""type"":""Polygon"",""coordinates"":[[[127.21147001,36.77272483],[127.21141822,36.77230369],[127.21126487,36.77189873],[127.21101583,36.77152551],[127.21068067,36.77119838],[127.21027229,36.77092992],[127.20980637,36.77073043],[127.20930082,36.77060758],[127.20877506,36.7705661],[127.2082493,36.77060758],[127.20774375,36.77073043],[127.20727783,36.77092992],[127.20686945,36.77119838],[127.20653429,36.77152551],[127.20628525,36.77189873],[127.2061319,36.77230369],[127.20608011,36.77272483],[127.2061319,36.77314597],[127.20628525,36.77355092],[127.20653429,36.77392412],[127.20686945,36.77425124],[127.20727783,36.7745197],[127.20774375,36.77471918],[127.2082493,36.77484202],[127.20877506,36.77488349],[127.20930082,36.77484202],[127.20980637,36.77471918],[127.21027229,36.7745197],[127.21068067,36.77425124],[127.21101583,36.77392412],[127.21126487,36.77355092],[127.21141822,36.77314597],[127.21147001,36.77272483]]]}",2022,법규위반별 사고다발구간
6781439,2022043,중앙선침범,4413111400,44131002,충청남도 천안시 동남구2,충청남도 천안시 동남구 다가동(한올수예 부근),4,6,0,0,6,0,127.139475132972,36.802310564582,"{""type"":""Polygon"",""coordinates"":[[[127.14217008,36.80231056],[127.1421183,36.80188959],[127.14196494,36.80148478],[127.1417159,36.80111171],[127.14138075,36.80078471],[127.14097236,36.80051635],[127.14050644,36.80031693],[127.14000089,36.80019414],[127.13947513,36.80015267],[127.13894938,36.80019414],[127.13844382,36.80031693],[127.1379779,36.80051635],[127.13756952,36.80078471],[127.13723437,36.80111171],[127.13698533,36.80148478],[127.13683197,36.80188959],[127.13678019,36.80231056],[127.13683197,36.80273154],[127.13698533,36.80313634],[127.13723437,36.8035094],[127.13756952,36.80383639],[127.1379779,36.80410474],[127.13844382,36.80430414],[127.13894938,36.80442694],[127.13947513,36.8044684],[127.14000089,36.80442694],[127.14050644,36.80430414],[127.14097236,36.80410474],[127.14138075,36.80383639],[127.1417159,36.8035094],[127.14196494,36.80313634],[127.1421183,36.80273154],[127.14217008,36.80231056]]]}",2022,법규위반별 사고다발구간
6781108,2022043,중앙선침범,4413111600,44131003,충청남도 천안시 동남구3,충청남도 천안시 동남구 신방동(하신삼거리 부근),3,11,0,5,6,0,127.125877228053,36.786222423427,"{""type"":""Polygon"",""coordinates"":[[[127.12857217,36.78622242],[127.12852039,36.78580136],[127.12836703,36.78539647],[127.12811799,36.78502332],[127.12778284,36.78469625],[127.12737446,36.78442783],[127.12690854,36.78422837],[127.12640299,36.78410555],[127.12587723,36.78406408],[127.12535147,36.78410555],[127.12484592,36.78422837],[127.12438,36.78442783],[127.12397161,36.78469625],[127.12363646,36.78502332],[127.12338742,36.78539647],[127.12323406,36.78580136],[127.12318228,36.78622242],[127.12323406,36.78664349],[127.12338742,36.78704837],[127.12363646,36.78742151],[127.12397161,36.78774857],[127.12438,36.78801698],[127.12484592,36.78821642],[127.12535147,36.78833924],[127.12587723,36.78838071],[127.12640299,36.78833924],[127.12690854,36.78821642],[127.12737446,36.78801698],[127.12778284,36.78774857],[127.12811799,36.78742151],[127.12836703,36.78704837],[127.12852039,36.78664349],[127.12857217,36.78622242]]]}",2022,법규위반별 사고다발구간
6781166,2022043,중앙선침범,4413111000,44131004,충청남도 천안시 동남구4,충청남도 천안시 동남구 삼룡동(삼룡사거리 부근),3,17,0,1,16,0,127.164939097662,36.788033630149,"{""type"":""Polygon"",""coordinates"":[[[127.16763404,36.78803363],[127.16758226,36.78761257],[127.1674289,36.78720769],[127.16717986,36.78683455],[127.16684471,36.78650749],[127.16643633,36.78623908],[127.16597041,36.78603963],[127.16546486,36.78591681],[127.1649391,36.78587533],[127.16441334,36.78591681],[127.16390779,36.78603963],[127.16344187,36.78623908],[127.16303348,36.78650749],[127.16269833,36.78683455],[127.16244929,36.78720769],[127.16229593,36.78761257],[127.16224415,36.78803363],[127.16229593,36.78845469],[127.16244929,36.78885956],[127.16269833,36.78923269],[127.16303348,36.78955974],[127.16344187,36.78982814],[127.16390779,36.79002758],[127.16441334,36.7901504],[127.1649391,36.79019186],[127.16546486,36.7901504],[127.16597041,36.79002758],[127.16643633,36.78982814],[127.16684471,36.78955974],[127.16717986,36.78923269],[127.1674289,36.78885956],[127.16758226,36.78845469],[127.16763404,36.78803363]]]}",2022,법규위반별 사고다발구간
6781296,2022043,중앙선침범,4413111300,44131005,충청남도 천안시 동남구5,충청남도 천안시 동남구 봉명동(하나학원 부근),3,3,0,1,2,0,127.134999941895,36.814628981543,"{""type"":""Polygon"",""coordinates"":[[[127.13769489,36.81462898],[127.13764311,36.81420807],[127.13748975,36.81380333],[127.13724071,36.81343032],[127.13690556,36.81310337],[127.13649717,36.81283505],[127.13603125,36.81263567],[127.1355257,36.81251289],[127.13499994,36.81247144],[127.13447418,36.81251289],[127.13396863,36.81263567],[127.13350271,36.81283505],[127.13309433,36.81310337],[127.13275918,36.81343032],[127.13251014,36.81380333],[127.13235678,36.81420807],[127.132305,36.81462898],[127.13235678,36.81504989],[127.13251014,36.81545462],[127.13275918,36.81582762],[127.13309433,36.81615456],[127.13350271,36.81642287],[127.13396863,36.81662224],[127.13447418,36.81674501],[127.13499994,36.81678647],[127.1355257,36.81674501],[127.13603125,36.81662224],[127.13649717,36.81642287],[127.13690556,36.81615456],[127.13724071,36.81582762],[127.13748975,36.81545462],[127.13764311,36.81504989],[127.13769489,36.81462898]]]}",2022,법규위반별 사고다발구간
6781180,2022043,중앙선침범,4413110600,44131006,충청남도 천안시 동남구6,충청남도 천안시 동남구 오룡동(오룡동89 부근),3,3,0,0,3,0,127.150104466649,36.804271452666,"{""type"":""Polygon"",""coordinates"":[[[127.15279941,36.80427145],[127.15274763,36.80385048],[127.15259427,36.80344569],[127.15234523,36.80307263],[127.15201008,36.80274564],[127.1516017,36.80247728],[127.15113578,36.80227787],[127.15063022,36.80215508],[127.15010447,36.80211361],[127.14957871,36.80215508],[127.14907316,36.80227787],[127.14860723,36.80247728],[127.14819885,36.80274564],[127.1478637,36.80307263],[127.14761466,36.80344569],[127.1474613,36.80385048],[127.14740952,36.80427145],[127.1474613,36.80469242],[127.14761466,36.80509721],[127.1478637,36.80547026],[127.14819885,36.80579724],[127.14860723,36.80606558],[127.14907316,36.80626498],[127.14957871,36.80638777],[127.15010447,36.80642923],[127.15063022,36.80638777],[127.15113578,36.80626498],[127.1516017,36.80606558],[127.15201008,36.80579724],[127.15234523,36.80547026],[127.15259427,36.80509721],[127.15274763,36.80469242],[127.15279941,36.80427145]]]}",2022,법규위반별 사고다발구간
