관리기관,관리부서,관리번호,위도,경도,소재지도로명주소,소재지지번주소,설치형태,데이터기준일자,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m)
천안시 동남구,건설과,2156,36.8065637,127.1612516,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1024.6483780996004
천안시 동남구,건설과,2157,36.80643461,127.1612031,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1016.977168981266
천안시 동남구,건설과,2158,36.80637381,127.1611833,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1013.6844114094691
천안시 동남구,건설과,2159,36.80631302,127.1611552,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1009.7094280379648
천안시 동남구,건설과,2160,36.80625901,127.1611186,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1005.1974453825034
천안시 동남구,건설과,381,36.80826253,127.1621875,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1163.6967902138322
천안시 동남구,건설과,382,36.80788234,127.1617944,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1115.5211964289692
천안시 동남구,건설과,383,36.80767747,127.1617015,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1099.7583532118188
천안시 동남구,건설과,384,36.80742758,127.1615749,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1079.8374305990765
천안시 동남구,건설과,385,36.80707183,127.1614369,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1055.893207657798
천안시 동남구,건설과,386,36.80946064,127.1640923,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1169.2309790651163
천안시 동남구,건설과,387,36.80960895,127.1643644,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1166.0814061780231
천안시 동남구,건설과,388,36.80904704,127.163433,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1185.3647339523147
천안시 동남구,건설과,389,36.80926509,127.1637725,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1175.9860934003402
천안시 동남구,건설과,390,36.8084922,127.1625307,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1201.7398986270116
천안시 동남구,건설과,391,36.80877056,127.162987,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,1198.4455629194356
천안시 동남구,건설과,,36.79209307,127.1439104,,동남구 용곡동 320-5,CML,2024-07-23,0,764.2104585701135
천안시 동남구,건설과,,36.79200778,127.1436469,,동남구 용곡동 320-5,CML,2024-07-23,0,778.8017084346628
천안시 동남구,건설과,,36.79192248,127.1433947,,동남구 용곡동 320-5,CML,2024-07-23,0,793.6653975177618
천안시 동남구,건설과,,36.79183263,127.143176,,동남구 용곡동 320-5,CML,2024-07-23,0,808.6222036391237
천안시 동남구,건설과,,36.79173385,127.1428902,,동남구 용곡동 320-5,CML,2024-07-23,0,826.6612674396952
천안시 동남구,건설과,,36.79158124,127.1424081,,동남구 용곡동 320-5,CML,2024-07-23,0,856.7992560026371
천안시 동남구,건설과,,36.79242556,127.1446673,,동남구 용곡동 320-5,CML,2024-07-23,0,715.9415962255034
천안시 동남구,건설과,,36.79257406,127.1448132,,동남구 용곡동 320-5,CML,2024-07-23,0,697.9009463543019
천안시 동남구,건설과,,36.79148701,127.142083,,동남구 용곡동 320-5,CML,2024-07-23,0,877.013330793323
천안시 동남구,건설과,,36.79164406,127.1426211,,동남구 용곡동 320-5,CML,2024-07-23,0,843.7882962280405
천안시 동남구,건설과,,36.79229968,127.1444374,,동남구 용곡동 320-5,CML,2024-07-23,0,732.8161566323865
천안시 동남구,건설과,,36.79218287,127.1441626,,동남구 용곡동 320-5,CML,2024-07-23,0,749.8867160842377
천안시 동남구,건설과,,36.79045818,127.127561,,동남구 신방동 67-3,LED,2024-07-23,0,460.6193480143222
천안시 동남구,건설과,,36.79059384,127.1270962,,동남구 신방동 67-3,LED,2024-07-23,0,427.5808689884427
천안시 동남구,건설과,,36.7905634,127.1273304,,동남구 신방동 67-3,LED,2024-07-23,0,440.29260843798227
천안시 동남구,건설과,,36.79067523,127.1268275,,동남구 신방동 67-3,LED,2024-07-23,0,409.12771063517636
천안시 동남구,건설과,,36.79038758,127.1282667,,동남구 신방동 67-3,LED,2024-07-23,0,501.71868890494403
천안시 동남구,건설과,,36.79036757,127.1280286,,동남구 신방동 67-3,LED,2024-07-23,0,491.35240486550634
천안시 동남구,건설과,,36.79040386,127.1277934,,동남구 신방동 67-3,LED,2024-07-23,0,476.5334095227505
천안시 동남구,건설과,,36.79072199,127.1273457,,동남구 신방동 67-3,LED,2024-07-23,0,425.61941409638894
천안시 동남구,건설과,,36.79089991,127.1273852,,동남구 신방동 67-3,LED,2024-07-23,0,410.4917190846809
천안시 동남구,건설과,,36.7908131,127.1264076,,동남구 신방동 67-3,LED,2024-07-23,0,380.82388336849027
천안시 동남구,건설과,,36.79091265,127.1260016,,동남구 신방동 67-3,LED,2024-07-23,0,359.3087644386615
천안시 동남구,건설과,,36.79102533,127.1259626,,동남구 신방동 67-3,LED,2024-07-23,0,346.3070850463192
천안시 동남구,건설과,,36.80789011,127.1489492,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,222.73297865389392
천안시 동남구,건설과,,36.80755028,127.1486824,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,261.4884862955091
천안시 동남구,건설과,,36.8075254,127.148758,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,263.75651082769474
천안시 동남구,건설과,,36.80739041,127.1486176,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,279.72779205354504
천안시 동남구,건설과,,36.80734529,127.1486736,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,284.2675789674291
천안시 동남구,건설과,,36.80725309,127.1485417,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,295.64750907257405
천안시 동남구,건설과,,36.80708187,127.1485442,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,314.5354471703856
천안시 동남구,건설과,,36.80702571,127.148418,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,322.1560111018174
천안시 동남구,건설과,,36.80699632,127.148502,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,324.4167192180082
천안시 동남구,건설과,,36.80686587,127.1483337,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,328.75308364975825
천안시 동남구,건설과,,36.80685901,127.1484121,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,324.787538060076
천안시 동남구,건설과,,36.80674204,127.1482718,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,319.51801883960854
천안시 동남구,건설과,,36.80668341,127.1483193,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,311.753406418662
천안시 동남구,건설과,,36.80768752,127.1488227,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,245.46153715729642
천안시 동남구,건설과,,36.80798245,127.148969,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,212.48294016430603
천안시 동남구,건설과,,36.80809503,127.1490168,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,200.07492714753215
천안시 동남구,건설과,,36.80800509,127.1488822,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,209.99770668695373
천안시 동남구,건설과,,36.80775964,127.1487976,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,237.5539588034381
천안시 동남구,건설과,,36.80813565,127.1489637,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,195.44305610962587
천안시 동남구,건설과,,36.80823461,127.1490899,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,184.93541434716659
천안시 동남구,건설과,,36.80826174,127.1490115,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,181.5328083089187
천안시 동남구,건설과,,36.8083292,127.1491097,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,174.59625459813986
천안시 동남구,건설과,,36.80833831,127.1490341,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,173.11534362764246
천안시 동남구,건설과,,36.80844637,127.1490903,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,161.46656948118795
천안시 동남구,건설과,,36.80846653,127.1491828,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,160.15683008539634
천안시 동남구,건설과,,36.80857236,127.1492223,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,149.07193088570327
천안시 동남구,건설과,,36.80859272,127.1491523,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,145.88700248502806
천안시 동남구,건설과,,36.80867141,127.1492841,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,139.35554849134738
천안시 동남구,건설과,,36.80868277,127.1492029,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,136.68112717086825
천안시 동남구,건설과,,36.72518968,127.1237476,,풍세면 보성리 432-1,CDM,2024-07-23,0,5552.592502971242
천안시 동남구,건설과,,36.72565362,127.1238799,,풍세면 보성리 432-1,CDM,2024-07-23,0,5499.685398518473
천안시 동남구,건설과,,36.7259059,127.1239195,,풍세면 보성리 432-1,CDM,2024-07-23,0,5471.61657982769
천안시 동남구,건설과,,36.72618519,127.1239675,,풍세면 보성리 432-1,CDM,2024-07-23,0,5440.454617424804
천안시 동남구,건설과,,36.72642398,127.1239819,,풍세면 보성리 432-1,CDM,2024-07-23,0,5414.394158135614
천안시 동남구,건설과,,36.72671007,127.1239936,,풍세면 보성리 432-1,CDM,2024-07-23,0,5383.300099742037
천안시 동남구,건설과,,36.72691957,127.1240079,,풍세면 보성리 432-1,CDM,2024-07-23,0,5360.409615850437
천안시 동남구,건설과,,36.72887955,127.1239663,,풍세면 보성리 432-1,CDM,2024-07-23,0,5150.454996038584
천안시 동남구,건설과,,36.7285709,127.1239881,,풍세면 보성리 432-1,CDM,2024-07-23,0,5183.126224531544
천안시 동남구,건설과,,36.72720569,127.1239888,,풍세면 보성리 432-1,CDM,2024-07-23,0,5330.008685280292
천안시 동남구,건설과,,36.72809558,127.1239622,,풍세면 보성리 432-1,CDM,2024-07-23,0,5234.8243632737085
천안시 동남구,건설과,,36.72831409,127.1239737,,풍세면 보성리 432-1,CDM,2024-07-23,0,5211.064360465164
