관리기관,관리부서,관리번호,위도,경도,소재지도로명주소,소재지지번주소,설치형태,데이터기준일자,주변 학교 수,가장 가까운 학교와의 거리,광원 등급
천안시 동남구,건설과,,36.80708187,127.1485442,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,244.50681955914095,5
천안시 동남구,건설과,,36.80702571,127.148418,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,251.05129667435196,5
천안시 동남구,건설과,,36.80699632,127.148502,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,242.92815001920036,5
천안시 동남구,건설과,,36.80686587,127.1483337,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,249.71718778966735,5
천안시 동남구,건설과,,36.80685901,127.1484121,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,243.065422070844,5
천안시 동남구,건설과,,36.80674204,127.1482718,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,249.42275272305716,5
천안시 동남구,건설과,,36.80668341,127.1483193,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,243.1611673761793,5
천안시 동남구,건설과,,36.80768752,127.1488227,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,268.09135030358374,5
천안시 동남구,건설과,,36.80798245,127.148969,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,284.89366269008525,5
천안시 동남구,건설과,,36.80809503,127.1490168,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,292.58386174069653,5
천안시 동남구,건설과,,36.80800509,127.1488822,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,291.57079918472203,5
천안시 동남구,건설과,,36.80775964,127.1487976,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,275.4958978359069,5
천안시 동남구,건설과,,36.80813565,127.1489637,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,1,298.989098354156,5
천안시 동남구,건설과,,36.80823461,127.1490899,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,301.9966668581465,5
천안시 동남구,건설과,,36.80826174,127.1490115,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,308.27733837682774,5
천안시 동남구,건설과,,36.8083292,127.1491097,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,310.0736307407987,5
천안시 동남구,건설과,,36.80833831,127.1490341,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,314.41650764714404,5
천안시 동남구,건설과,,36.80844637,127.1490903,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,322.2077226163431,5
천안시 동남구,건설과,,36.80846653,127.1491828,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,320.18278366890075,5
천안시 동남구,건설과,,36.80857236,127.1492223,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,329.00423518848027,5
천안시 동남구,건설과,,36.80859272,127.1491523,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,333.8581433461716,5
천안시 동남구,건설과,,36.80867141,127.1492841,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,336.5156560460929,5
천안시 동남구,건설과,,36.80868277,127.1492029,명동길 57,동남구 대흥동 89-1,LED,2024-07-23,0,340.7711640292477,5
천안시 동남구,건설과,,36.72518968,127.1237476,,풍세면 보성리 432-1,CDM,2024-07-23,0,521.7177060002626,4
천안시 동남구,건설과,,36.72565362,127.1238799,,풍세면 보성리 432-1,CDM,2024-07-23,0,526.2458594188838,4
천안시 동남구,건설과,,36.7259059,127.1239195,,풍세면 보성리 432-1,CDM,2024-07-23,0,528.0297711788995,4
천안시 동남구,건설과,,36.72618519,127.1239675,,풍세면 보성리 432-1,CDM,2024-07-23,0,532.1245579087653,4
천안시 동남구,건설과,,36.72642398,127.1239819,,풍세면 보성리 432-1,CDM,2024-07-23,0,534.6858858658503,4
천안시 동남구,건설과,,36.72671007,127.1239936,,풍세면 보성리 432-1,CDM,2024-07-23,0,538.9755532359956,4
천안시 동남구,건설과,,36.72691957,127.1240079,,풍세면 보성리 432-1,CDM,2024-07-23,0,543.7824744210794,4
천안시 동남구,건설과,,36.72887955,127.1239663,,풍세면 보성리 432-1,CDM,2024-07-23,0,616.6467628877124,4
천안시 동남구,건설과,,36.7285709,127.1239881,,풍세면 보성리 432-1,CDM,2024-07-23,0,601.7336283798408,4
천안시 동남구,건설과,,36.72720569,127.1239888,,풍세면 보성리 432-1,CDM,2024-07-23,0,548.5237654443963,4
천안시 동남구,건설과,,36.72809558,127.1239622,,풍세면 보성리 432-1,CDM,2024-07-23,0,577.1150213179673,4
천안시 동남구,건설과,,36.72831409,127.1239737,,풍세면 보성리 432-1,CDM,2024-07-23,0,587.9367093787662,4
천안시 동남구,건설과,,36.72740621,127.1239751,,풍세면 보성리 432-1,CDM,2024-07-23,0,552.8905865840632,4
천안시 동남구,건설과,,36.72761573,127.1239614,,풍세면 보성리 432-1,CDM,2024-07-23,0,558.423878298045,4
천안시 동남구,건설과,,36.72784328,127.1239478,,풍세면 보성리 432-1,CDM,2024-07-23,0,565.5701178329678,4
천안시 동남구,건설과,,36.72542389,127.1238236,,풍세면 보성리 432-1,CDM,2024-07-23,0,524.153282838624,4
천안시 동남구,건설과,,36.72866819,127.1235769,,풍세면 보성리 422,CDM,2024-07-23,0,574.8282196788072,4
천안시 동남구,건설과,,36.72838441,127.1235065,,풍세면 보성리 422,CDM,2024-07-23,0,554.0890864222939,4
천안시 동남구,건설과,,36.72806909,127.123436,,풍세면 보성리 422,CDM,2024-07-23,0,533.0052071990344,4
천안시 동남구,건설과,,36.72772449,127.1233599,,풍세면 보성리 422,CDM,2024-07-23,0,511.8873443062044,4
천안시 동남구,건설과,,36.72742945,127.1232838,,풍세면 보성리 422,CDM,2024-07-23,0,494.5935915632406,4
천안시 동남구,건설과,,36.72716371,127.1231995,,풍세면 보성리 422,CDM,2024-07-23,0,479.1272440386505,4
천안시 동남구,건설과,,36.72700618,127.1230425,,풍세면 보성리 422,CDM,2024-07-23,0,461.3526762167461,4
천안시 동남구,건설과,,36.72704044,127.1225836,,풍세면 보성리 422,CDM,2024-07-23,0,422.5554588362846,4
천안시 동남구,건설과,,36.72708608,127.1220155,,풍세면 보성리 422,CDM,2024-07-23,0,375.30605096592194,4
천안시 동남구,건설과,,36.72714766,127.1212796,,풍세면 보성리 422,CDM,2024-07-23,0,315.88776321532026,4
천안시 동남구,건설과,,36.72720018,127.1205884,,풍세면 보성리 422,CDM,2024-07-23,2,262.6441099603759,4
천안시 동남구,건설과,,36.72724589,127.1199364,,풍세면 보성리 422,CDM,2024-07-23,2,216.4094140627312,4
천안시 동남구,건설과,,36.72888433,127.1237032,,풍세면 보성리 422,CDM,2024-07-23,0,596.8190079727156,4
천안시 동남구,건설과,,36.74394552,127.2134996,,성남면 용원리 291-39,LED,2024-07-23,0,2208.3863269552267,5
천안시 동남구,건설과,,36.74530298,127.2136246,,성남면 용원리 291-39,LED,2024-07-23,0,2212.113244714876,5
천안시 동남구,건설과,,36.7455911,127.2129219,,성남면 용원리 291-39,LED,2024-07-23,0,2278.529018082093,5
천안시 동남구,건설과,,36.74411595,127.2114174,,성남면 용원리 291-39,LED,2024-07-23,0,2394.757807934749,5
천안시 동남구,건설과,,36.74338598,127.211449,,성남면 용원리 291-39,LED,2024-07-23,0,2387.8856782591906,5
천안시 동남구,건설과,,36.74697727,127.2137879,,성남면 용원리 291-39,LED,2024-07-23,0,2230.0960126117543,5
천안시 동남구,건설과,,36.74670368,127.2130929,,성남면 용원리 291-39,LED,2024-07-23,0,2284.45641490251,5
천안시 동남구,건설과,,36.74606014,127.2126656,,성남면 용원리 291-39,LED,2024-07-23,0,2309.062185321475,5
천안시 동남구,건설과,,36.74516903,127.2121089,,성남면 용원리 291-39,LED,2024-07-23,0,2344.2388973712964,5
천안시 동남구,건설과,,36.74300589,127.2123605,,성남면 용원리 291-39,LED,2024-07-23,0,2305.6526889826314,5
천안시 동남구,건설과,,36.74339407,127.2119697,,성남면 용원리 291-39,LED,2024-07-23,0,2341.5462007902734,5
천안시 동남구,건설과,,36.74459255,127.211973,,성남면 용원리 291-39,LED,2024-07-23,0,2349.5811820142417,5
천안시 동남구,건설과,,36.74321645,127.2130329,,성남면 용원리 291-39,LED,2024-07-23,0,2246.253147559306,5
천안시 동남구,건설과,,36.74467459,127.2139663,,성남면 용원리 291-39,LED,2024-07-23,0,2173.682008700995,5
천안시 동남구,건설과,,36.74478608,127.2146048,,성남면 용원리 291-39,LED,2024-07-23,0,2118.4354117914645,5
천안시 동남구,건설과,,36.74511193,127.2137995,,성남면 용원리 291-39,LED,2024-07-23,0,2193.941721828816,5
